	id	image_links	name
0	5114	https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg	Fullmetal Alchemist: Brotherhood
1	32281	https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg	Kimi no Na wa.
2	5114	https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg	Fullmetal Alchemist: Brotherhood
3	28977	https://myanimelist.cdn-dena.com/images/anime/3/72078.jpg	Gintama°
4	9253	https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg	Steins;Gate
5	9969	https://myanimelist.cdn-dena.com/images/anime/4/50361.jpg	Gintama&#039;
6	32281	https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg	Kimi no Na wa.
7	5114	https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg	Fullmetal Alchemist: Brotherhood
8	28977	https://myanimelist.cdn-dena.com/images/anime/3/72078.jpg	Gintama°
9	9253	https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg	Steins;Gate
10	9969	https://myanimelist.cdn-dena.com/images/anime/4/50361.jpg	Gintama&#039;
11	32935	https://myanimelist.cdn-dena.com/images/anime/7/81992.jpg	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou
12	11061	https://myanimelist.cdn-dena.com/images/anime/11/33657.jpg	Hunter x Hunter (2011)
13	820	https://myanimelist.cdn-dena.com/images/anime/13/13225.jpg	Ginga Eiyuu Densetsu
14	15335	https://myanimelist.cdn-dena.com/images/anime/10/51723.jpg	Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
15	15417	https://myanimelist.cdn-dena.com/images/anime/6/75172.jpg	Gintama&#039;: Enchousen
16	4181	https://myanimelist.cdn-dena.com/images/anime/13/24647.jpg	Clannad: After Story
17	28851	https://myanimelist.cdn-dena.com/images/anime/3/80136.jpg	Koe no Katachi
18	918	https://myanimelist.cdn-dena.com/images/anime/2/10038.jpg	Gintama
19	2904	https://myanimelist.cdn-dena.com/images/anime/4/9391.jpg	Code Geass: Hangyaku no Lelouch R2
20	28891	https://myanimelist.cdn-dena.com/images/anime/9/76662.jpg	Haikyuu!! Second Season
21	199	https://myanimelist.cdn-dena.com/images/anime/6/79597.jpg	Sen to Chihiro no Kamikakushi
22	23273	https://myanimelist.cdn-dena.com/images/anime/3/67177.jpg	Shigatsu wa Kimi no Uso
23	24701	https://myanimelist.cdn-dena.com/images/anime/9/68095.jpg	Mushishi Zoku Shou 2nd Season
24	12355	https://myanimelist.cdn-dena.com/images/anime/9/35721.jpg	Ookami Kodomo no Ame to Yuki
